subject,content
World Series in Question,Return Receipt Your World Series in Question document: was received Kyle Jones/US/AMERICAS/Equant by: at: 01:00:51 PM Today
Credit Worksheet: Dominion,Please prepare a draft contract per terms of the attached credit worksheet. Thanks brant
Brent,Reminder! Brent is taking a vacation day today. He will return tomorrow.
Name Overlays 11/27/00 pm,The attached legal name changes have been made in GCP. The CXY Marketing entities and Canadian Occidental records were overlayed due to a name change to Deven. See attachment for details. .
Versacold Corp. - Omnibus Agreement,Attached please find the terms for the proposed Omnibus Agmt for Versacold. Call with comments or questions.
Name Correction 11/28 pm,This is a correction that substantially affects the legal name and the short name so I am including the regular distribution on this correction. From Salomon Smith Barney AAA Energy Fund to Smith Barney AAA Energy Fund L.P.
Class,I apologize for having to run out this morning. I am still on the call. Do you have plans for lunch?
Bank of America/ERMS executed master blue file,Does anyone have this file? The master was executed on 2/28/92. Thanks. Sara
Leaving early,I need to leave around 4:45 today to get to a repair shop at the north end of town before they close. I will also be taking a half day vacation Friday afternoon.
December SWAP Calendar,Attached for your information is the Group Calendar for December. Please advise of any revisions you may have. Taffy
Name Correction,Name correction from AG Processing Inc. to Ag Processing Inc.
Re: Confidentiality Agreements,Where is this subdirectory located? In the form documents or in your directory.
Reminder!,Brent Hendry will be taking 1/2 day vacation (p.m.) today and Friday (December 8th) to take his family to doctor appointments.
credit worksheet: BP Capital,Please prepare a new draft per terms of the attached credit worksheet. thanks brant
Oracle NDA for EnronCredit.com,Tana: Please prepare a bilateral NDA (based upon the Enron Net Works form) between EnronCredit.com Limited and Oracle Corporation. Delete any references re the EOL web site from the form and revise the term of the confidentiality obligation to 2 years from the date of disclosure of the Confidential Information. Forward the NDA to George Zivic when it is ready to go out. George would like to distribute to Oracle today if possible. He needs an executed agreement in place for a Monday meeting. Leslie
Credit Worksheet: Nuevo,Please prepare a draft per terms of the attached credit worksheet. The old Master Agreement that was executed in 1996 is out of date and contains no credit right for margin. thanks brant
Worksheet : Samuel Gary Jr.,Please prepare a draft contract per the attached credit terms. thanks brant
Susan Bailey,Susan will be in around 10:30 this morning.
Re: NDA-Oracle Corporation,Thanks.
Name Correction,Power Authority of the State of New York
RE: NDA,We are fully executed. I will fax a copy to your attention and you can distribute to your people as needed. thanks for all your help. Robert
Cinergy ISDA,I need a copy of the Cinergy Marketing & Trading contract recently sent for execution. Could someone please have a copy run down to me. thanks brant EB2860
Re: NDA - AW Technologies and Enron Net Works (Enron',It works this time and I will read it and give you my comments. Thank you very much.
Susan Flynn-Monday 5/8,Susan has a dentist appointment this morning and should be in around 9:30 am.
Brent in Late,Brent Hendry will be in late Tuesday morning. He's meeting with the insurance adjuster on his home for further claim discussion and picture taking.
Tradespark,Were you guys ever able to get into the site? Just checking on the status. thanks Sheri
Lafarge Canada Credit Worksheet,Please find attached the credit worksheet for the preparation of an ISDA with Lafarge Canada Inc. Please also be advised that we will be exchanging guarantees with the counterparty and therefore will need to prepare a draft guaranty for their review as well. Thanks so much for all your help! Wendy
March 2,I would like to take March 2 off to go to Dallas. That's Friday of next week. Wanted to check with you all first before everyone else. Stephanie
Re: What time is the dinner?,Anytime you like. Typically 7 or 7:30 ish
Get Out Your Light Saber,. . . STAR WARS IS COMING TO HOUSTON! Click Here For More Details
Re: Financial Trading Agreement Database Link,Thank you for the info. I wanted to let you know that I got that c/p stuff all figured out.
Statoil Reconciliation,Attached is the latest data on the above:
Agriculture commodities,These are the various commodities we are scheduled to trade in the agriculture books. Let me know if you have any questions. Gary X35502 GRAINS Coffee Wheat Soybean MEATS Live Cattle Feeder Cattle Lean Hogs Frozen Pork Bellies SOFT Coffee Sugar Cocoa
Re: Bankers Trust/Deutsche Bank,fax no?
Illusions,JOIN ENRON INVESTMENT PARTNERS AND ILLUSIONS SCREEN PRINTING IN EB50M ON MARCH 1st FOR A SPECIAL PRESENTATION! Click Below For More Details
Re: Talk to Joe Sutton on eSpeak Today!,Are we having a little problem or what? I am getting eSpeak announcements from last year and the year before!
Lotus Notes database,Tana: When will the database be ready for companywide access? Sara
Request Closed: Access Request for wendy.conwell@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for cheryl.nelson@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Submitted: Access Request wendy.conwell@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request robert.bruce@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request cheryl.nelson@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Closed: Access Request for robert.bruce@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Group Meeting,Let's talk at our group meeting tomorrow about the changes we should be making to our forms based on the CFMA and our conversation with Ken Raisler.
Azalea Trail,Would you like to do some Azalea Trailing on Sunday afternoon? Henry will owe me some babysitting time after being gone for 2 weeks and I always have fun cruising the lifesyle of the rich and famous set with you..... ALG
Reliant,Here is a copy of the Reliant Confirmation. Jarrod
Brent Hendry,Brent Hendry has a doctor appointment tomorrow (Friday) morning. He will be in as soon as he can.
Equitable Energy Credit W/S,To All: Please see attached credit worksheet for Equitable Energy. Thanks Russell
Archer Daniel Midland Isda.,Please find attached a credit worksheet for ADM. Kindly prepare a draft Isda and forward to Mark Schweitzer at the contact information provided. Thanks Rudwell.
AIG Energy Trading Inc. - cw,Please find attached the credit worksheet with terms to be incorporated into the draft ISDA and sent off for AIG Energy Trading Inc. Please call with questions or comments. Wendy Conwell
AIG,It's OK to open AIG Energy Trading Inc. for US financial gas & power.
Koch Metals,See attached EOL deal done yesterday.
Landmark Chemicals:  Annex B worksheet,Please include terms of the attached credit worksheet within an Annex B and provide such to the confirmations for use in all unconfirmed trades and any trades to be entered into. thanks brant
Caught!!!,An unlikely pair.....
Re: per my vm,thanks
Brent Hendry,Brent will be in a little late today.
Bonneville Power Administration,David: Enclosed for your review is a draft amendment letter for the above counterparty. All of the requested chnages are driven by the fact that BPA is a federal agency. I look forward to hearing from you. Carol
DTE ISDA,Please find attached an ISDA credit worksheet for DTE Energy Co. Kindly complete an ISDA agreement and forward to the listed contact. Thanks Rudwell.
DTE,Please disregard the previous memo and credit worksheet. The correct worksheet is attached. Rudwell. 53596.
Susan Bailey out of office,Susan Bailey had to meet delivery people at home. She should return to office by Noon.
Request Submitted: Access Request marcus.nettelton@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Closed: Access Request for marcus.nettelton@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Procedures for Financial Confirmations,Please see attached memo.
Request Submitted: Access Request angela.davis@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request linda.sietzema@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request sharon.crawford@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Closed: Access Request for sharon.crawford@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for angela.davis@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
J Aron,Tana: Here is the Enron Guaranty . It is in my specproj/J Aron file named as Enron Guaranty FINAl. Carol
Request Closed: Access Request for linda.sietzema@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Course Materials,Please remember to bring your hand outs from the last session with you tomorrow at 2:00 p.m. There will be a few extra copies for those who missed last time. Thank you!
Request Submitted: Access Request edmund.cooper@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Closed: Access Request for edmund.cooper@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
National Energy Group,Please prepare an Annex B per terms of the attached credit worksheet and provide a copy to the confirmations group for inclusion within trade qy8453's confirmation. thanks brant
FMC Corp - qy1154,Please prepare an Annex B per terms of the attached credit worksheet. thanks brant
Sanchez Oil & Gas,Hello All: I have attached a credit worksheet for Sanchez Oil & Gas. Please see the comments at the bottom of the spreadheet. Russell
Re: Star Supply,Thanks for the heads up.
Doctors Appt.,I have a doctors appt Monday morning and will be in late in the morning. Carol
SWAP Group calendars May thru July Calendars,Please let me know if you have revisions to the attachment.
thanks,I received your voice mail message. I will contact Tom and/or Walter. Thanks for the help. Carl
Name Overlay 04/19/01,The Chase Manhattan Corporation (Survivor) merged with J. P. Morgan & Co. Incorporated and changed its name concurrently to J.P. Morgan Chase & Co. See the attached for details.
Meeting with Matt Dawson,Matt has asked me to confirm your dinner appointment with him on 1 May 2001. Please can you also confirm what time you would like to meet. Many thanks. Kind regards. Nina
Request Submitted: Access Request jason.r.williams@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request wendi.lebrocq@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Closed: Access Request for jason.r.williams@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for wendi.lebrocq@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Masco Corp,Please prepare a draft ISDA pursuant to the attached credit terms and deliver a draft to Eliot Bonner. Thank you.
Matt Dawons' Itinerary for Houston,I attach a copy of Matt Dawson's itinerary for Houston next week. Please can you check the same and let me know if there are any queries or problems. Many thanks for your help. Nina
Doctors Appt.,I have a quick follow up appointment tomorrow at 2:15. I should be back in the office around 3:00.
"Alarm: SWAP Group - FORMS Meeting - EB38c2 at 05/18/2000 11:30 AM
 (located at EB38c2)",To review and discuss changes that need to be made to forms.
Omnibus,Attached is an Omnibus confirmation worksheet for a deal done yesterday. Please call Brad Schneider if you have any questions. I will be out this afternoon through tomorrow. JS
Re: isda,did they send a CSA?
FX Top Counterparties,Please see below list of Top counterparties to have access to FX product Please let me know if you have any questions/comments Thanks Carlos
Tana Jones/HOU/ECT is out of the office.,I will be out of the office starting 05/02/2001 and will not return until 05/07/2001. I will respond to your message when I return.
New Form of LC,Please see the enclosed new form of LC that incorporates the additional drawing condition that we discussed as well as the UCP Article 13(b) language. Carol
Request Submitted: Access Request karolina.asklund@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request randy.otto@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Divisions,Current list of divisions tied to active legal entities in Global Counterparty. Let me know what else I can do to help. Debbie
Peformance Management Website,We are currently experiencing performance problems with the Performance Management website. This is due to the number of concurrent users accessing the application. Technology is working on a solution to the problems and will keep you posted as the problems are remedied. Thank you for your patience.
Request Closed: Access Request for karolina.asklund@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for randy.otto@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
EOL / Credit / GCP Responses 5/19/00,Please find attached Credit's EOL responses for 5/19/00 Regards Molly
Re: US/Canadian Currency Swaps Online,Roger.
Request Submitted: Access Request paul.johnson@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request denis.o'connell@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request janet.wood@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request michael.slade@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request ian.brungs@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request michael.schuh@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request mark.elliott@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request rahul.saxena@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request adam.duguid@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request marcus.vonbockundpolach@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request chris.sloan@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request diana.higgins@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request hamish.m.scutt@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request lindsay.f.edmonds@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request paul.maley@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request minna.taponen@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request karolina.asklund@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Closed: Access Request for denis.o'connell@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for diana.higgins@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for paul.johnson@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for ian.brungs@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for michael.slade@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for janet.wood@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for michael.schuh@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for mark.elliott@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for rahul.saxena@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for adam.duguid@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
"Request Closed: Access Request for
 marcus.vonbockundpolach@enron.com",The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for chris.sloan@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for hamish.m.scutt@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for lindsay.f.edmonds@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for paul.maley@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for minna.taponen@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for karolina.asklund@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
NEW IDA CONTRACTS FOR LOUISIANA-PACIFIC AND TAUBER PETROCHEMICAL,FYI
Request Submitted: Access Request marie.heard@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Closed: Access Request for marie.heard@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Early Departure,I need to leave the office today at 5:15 for a class. Carol
Rate Your Contractor,Tana when you have a chance could you do me a favor and go to www.contractor.com and do a search for contractor by name then enter my name and then my company name will come up and then click on the link to rate this contractor. Then fill out the form and rate your favorite contractor and of course you must give me high marks. ? How are you doing? ? Louis
Re: ISDA(s) with Mitsui Corp.,Thanks so much Tana; I am not well versed in the world of ISDA and your help is greatly appreciated. Laurie
Enron Wholesale Services Meeting,From the office of Mr. Mark Haedicke! Please note the attachment. Thank you
FW: Claire Burnum,Please send Claire a two way NDA
New project,Tana: The project manager for the system we discussed earlier this week will be Sheri Luong. She will be contacting you soon. Scott
Request Submitted: Access Request shemeika.s.landry@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request donna.lowry@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request shelli.smith@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request stephanie.sever@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Request Submitted: Access Request lisa.lees@enron.com,Thank you for your request. You will be notified by email when your request has been processed. You can check the progress of your request by clicking MyReq.
Midcoast Marketing ISDA amendment Credit W/S,To All: Please see attached credit worksheet which amends the current ISDA with Midcoast Marketing which now provides for a guaranty from its new parent as a result of an acquisition. Thanks Russell
Re: PPL Corporation,I need Credit approval before I can sign off.
Save the Date -- Star Wars:  The Magic of Myth,The Museum of Fine Arts Houston
Request Closed: Access Request for shemeika.s.landry@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for donna.lowry@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for shelli.smith@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for stephanie.sever@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Request Closed: Access Request for lisa.lees@enron.com,The request has been completed with all resources requested either completed or rejected. You can view the details of the request by clicking MyReq.
Re: Allegheny Energy,Never heard of them.
Reviewer Selection,Please remember to go into the Performance management System to select reviewers for this series of performance reviews.
Silicatos Especiales,Please prepare a draft ISDA for the following Mexican counterparty. Our trader in Mexico is anxious to forward the documentation as a deal is apparently imminent. He is calling on a regular basis. Would the legal assistant who is assigned this task please give me a call so I can tell him when to expect it? Thanks for your help. Paul.
Leaving the office today,I have a personal errand to run. I am leaving the office at 5:20 p.m. today.
SWAP Group May-July calendar - Attachment,If you are having problems with printing the attachment. You may have to select your local printer from the Print menu. (File/Print/Select Printer)
Re: Expense Reports,tHANK YOU!
Re: J. Aron & Company,Please take me off you distribution.
Financial Trading Database,Below are the individuals in Jeff Sorenson's Deal Compliance group that need access to the Financial Trading Database: NotesMail Address Book Jeff Sorenson ECT Larry Joe Hunter ECT Kevin Meredith Corp Bruce Mills Corp Derek Bailey Corp Jean Bell ECT Diane Anderson Corp Souad Mahmassani Corp Angie Guillen ECT Sheetal Patel ECT Jarrod Cyprow ECT Scott Tackett Corp Gordon Heaney Corp Pam Sonnier ECT David Dupre ECT I am assuming that since I have access that I will not need any further action.
Associate & Analyst Programs (Enron-wide email),Please click on the below link to access a message from the Office of the Chairman.
Tudor confirm credit,Rod
Omnibus Credit Annex,Please draft the credit annexes B and B1 for an omnibus paper swap confirmation pursuant to the terms of the attached document. Time is of the essence as the trader would like to run these terms by the counterparty before finalizing the deal. Thanks!
Thank You!,Just wanted to let you all know how much I appreciated you coming to speak to our group this morning. You provided great information and everyone said that your presentations were extremely insightful. I am glad to see that we will continue to work together. Lisa
Media General,Please draft an isda pursuant to the attached credit terms and forward a draft to Joe Jure.
Mexico EOL Issues,Tana: Mark has asked me to handle the Mexico issues in connection with EOL trading. I understand that you have copies of what has been sent to and received from Mexican counsel. Could you before you leave tomorrow give me copies of all correspondence as well as copies of the more current questionnaires taht we have been sending out so that I can start following up with them on Monday? Thanks. Carol
PROJECT DOORSTEP,Please see the attached memo from Greg Johnston.
Susan Flynn,Susan is running late. She should be here by 10:00 a.m.
CXY Letter,tana: Per my voice mail here is the letter that Mark did which they want faxed to them with the original to follow by mail. Carol
Grupo Industrial Saltillo,Please draft an ISDA pursuant to the attached worksheet for a Mexican c/p. The Monterrey Enron trader is Agustin Perez.
Chautauqua Airlines Omnibus worksheet,"Attached below are the worksheets for Chautauqua Airlines (reference trade #NE4771 and #NE4777)."
Do It Best Corp,Please prepare a draft ISDA pursuant to the attached terms and deliver to Kevin Cordesman. Thanks. Paul
lotus notes access,Tana: Jason still does not have access to the Financial Trading dababase. Can you facilitate please? thanks. Sara
Whereabouts,I will be leaving the office today at 1:00 p.m. and will return to work Monday morning. Have a wonderful weekend. Samantha M. Boyd Sr. Legal Specialist
Re: Enron North America Corp. NYMEX Hedge Exemption Applications,no problem...thanks
SWAP GROUP CALENDAR - JUNE-AUG 2000,Good morning. Please let me know if you have any revisions to the attached. Taffy :)
Lotus Notes Access,Tana: Please see that Jeff Nogid and Clint Freeland are given access to our Financial Trading Agreements database. Thanks. Sara
"Susan Flynn will be in late this a.m.  She had a migrane last
 night.",Susan
ISDA,Thanks for sending down the ISDA. MDS
Re: as you requested,Thanks!
Stephanie Panus,HR confirmed that Stephanie is still interested and has not been hired by anyone else. Please let me know if you feel we should contact her for purposes of indicating to her our interest in her and obtaining salary information from her. Carol
Re: Revised Metals counterparties approval,I say don't trade with any of them!
Re: Exchange Credit Risk,Nothing like a little guilt. Have you been speaking with my mother? I'll keep my fingers crossed. Thanks.
Re: Exchange Credit Risk,She got it all out of me long ago. I'm thoroughly beaten.
Re: Bellingham Cold Storage ISDA Master,Your the queen...... thanks for your efforts!!
Brent Hendry's Vacation,I verified with Brent this a.m. He will be on vacation from July 10 thru 19th or 20th.
TXU,Tana: You offered to send the TXU agreement for multiple confirms. Thanks. Sara
Credit in Confirm,Please provide credit language per this worksheet to Sheetal Patel. Thanks brant
Updated SWAP Group List,For your information.
Re: Enron North America Corp. NYMEX Hedge Exemption Applications,Is there a list of commodities that the company trades that I can get access to? I know we are involved in numerous commodities. thank you
ETA Amendment Letters,Tana: I need to get copies pof all of the letters that have been executed that Mark and I have done. Do you have them? David F. wants me to prepare a summary of the amendments that we have agreed to. 'Carol
Engage,Tana: I sent to Luke Mickum a new draft of the Engage US amendment. He never did send me his comments. The file with the new draft will be with the files near the window just in case. He wants to resolve the US one before we resolve the Canada one. Coastal is now going to Guaranty the US one. I'm not yet sure if they will also Guaranty the Canada one so we might end up now with 2 separate guarantys. I'll keep you posted. Carol
Anne Hicks/LON/ECT is out of the office.,I will be out of the office from 07/07/2000 until 10/07/2000. I will respond to your message when I return.
Language for NEON,HELP!
EnronOnline procedures and GTCs,Attached are the GTCs that I have revised to address tax issues that would arise from counterparties with no Australia presence. I am content settlement provisions already covered in the documentation. I have also developed a checklist for new counterparties. Would you pass onto Chris Catt at PW for his signoff.
Hylsa SA de CV,Please prepare a draft ISDA pursuant to the attached credit worksheet and deliver to Agustin Perez. Thank you.
Confidentiality Agreement,Please can you send a confidentiality agreement to Mark as we have a meeting tomorrow morning at 9am. Thanks Louise
Re: Legal Online Trading Database,I still haven't received this database Tana.
Coffee,Tana/Shawna I'm really sorry I didn't get to have a coffee on Wednesday at my favourite coffee shop with my two favourite Americans!!! I was fully occupied in meetings the whole day until I had to dash to the airport at 4pm. You'll just have to come and see me in London !!! Love Jon
Missing Cell Phone,Please call me immediately if you have found one. Missing since yesterday. It is a Houston Cellular telephone. Thanks!!! X36082
Carol St Clair/HOU/ECT is on Maternity Leave,I will be out of the office starting 07/12/2000 and will not return until 11/13/2000. I will respond to your message when I return.
Migration to Windows 2000,Please see the attached memo regarding migration to Windows 2000. This migration will affect the Houston office only.
Lin Pac ISDA Request,Please prepare a draft ISDA according to the attached worksheet. Please DO NOT send directly to the counterparty as the trader would prefer to hand deliver. Thank you. Paul
Re: EOL Credit Responses 07/18/00,Tana: The following CPs are not authorized to trade US power: Delta Air Lines Newmont Mining Corporation Leslie
Addendum to ClickPaper approvals,Attached please find an addendum to today's approvals (includes Times Mirror Magazines Inc. for a $0 threshold).
Re: EOL Responses 7/5,Southern Company Energy Marketing Canada Ltd. is NOT authorized to trade US power. Leslie
Re: Revised Metals counterparties approval,Tana: The only CP on the metals list that is authorized to trade US power is Kaiser Aluminum & Chemical Corporation. Leslie
ClickPaper approvals (addendum),Attached is an addition to today's November 15 approvals sent out earlier today. Please call me if you have any questions; thanks. Walter
Re: EOL / Credit / GCP Responses 6/6/00,NRG Energy Inc. is not authorized to trade US power products. Leslie
Re: EOL / Credit / GCP Responses 5/24/00,Glencore Ltd is not authorized to trade US power. Leslie
Re: EOL / Credit / GCP Responses 5/23/00,Tana: Mieco is fine to trade US power. Leslie
Language for NEON,HELP!
EOL Credit Responses 4/3,Please find attached Credit's EOL responses for 4/3/00 Regards Molly
EOL Credit Responses 3/30,Please find attached Credit's EOL responses for 3/30/00. Regards Molly
EOL Credit Responses 3/29,Please find attached Credit's EOL responses for 3/29/00 Regards Molly
EOL Credit Responses 3/28,Please find attached Credit's EOL responses for 3/28/00 Regards Molly
Re: EOL Credit Responses 3/24,Just to confirm that I endorse the decision not extend access to Australian Power
Re: EOL Credit Responses 3/22,Tana: None of the CPs on the 3/22 list are authorized to trade US power since they were all restricted by credit. Leslie
EOL Credit Responses 3/22,Please find attached Credit's EOL responses for 3/22/00. Regards Molly
EOL Credit Responses 3/20,Please find attached Credit's EOL responses for 3/20/00. Regards Molly
Re: EOL Credit Responses 3/14,Tana: Neither Midstream Energy Marketing INc. nor Resource Strategies LLC is authorized to trade US power products. Both CPs were restricted by legal. Leslie
EOL Credit Responses 3/13,Please find attached Credit's EOL responses for 3/13/00. Regards Molly
EOL Credit Responses 3/10,Please note Credit has no EOL responses for 3/10/00. Regards Molly
EOL Credit Responses 3/8,Please find attached Credit's EOL responses for 3/8/00. Regards Molly
Re: Steel Approvals 11/13/00,None of the steel counterparties are authorized to trade US power products. Leslie
EOL Credit Responses 3/7,Please find attached Credit's EOL responses for 3/7/00. Regards Molly
EOL Credit Responses 3/6,Please find attached Credit's EOL responses for 3/6/00. Regards Molly
EOL Credit Responses 3/3,Please find attached Credit's EOL responses for 3/3/00. Regards Molly
EOL Credit Responses 3/2,Please find attached Credit's EOL responses for 3/2/00. Regards Molly
EOL Credit Responses 3/1,Please find attached Credit's EOL responses for 3/1/00. Regards Molly
EOL Credit Responses 2/29,Please find attached Credit's EOL responses for 2/29/00. Regards Molly
EOL Credit Responses 2/28,Please find attached Credit's EOL responses for 2/28/00. Regards Molly
Re: EOL Credit Responses 2/22,National Energy & Trade LLC is not authorized to trade U.S. power products. Leslie
EOL Credit Responses 2/22,Please find attached Credit's EOL responses for 2/22/00. Regards Molly
EOL Credit Responses 2/18,Please find attached Credit's EOL responses for 2/18/00. Regards Molly
EOL Credit Responses 2/17,Please find attached Credit's EOL responses for 2/17/00. Regards Molly
EOL Credit Responses 2/11,Please note Credit has no EOL responses to report today. Regards Molly
EOL Credit Responses 2/9,Please find attached Credit's EOL responses for 2/9/00. Regards Molly
EOL Credit Responses 2/4,Please find attached Credit's EOL responses for 2/4/00. Regards Molly
EOL Credit Responses 2/3,Please find attached Credit's EOL responses for 2/3/00. Regards Molly
EOL Credit Responses 2/2,Please find attached Credit's EOL responses for 2/2/00. Regards Molly
